user_id,label
35972,a
6789,a
30606,a
50962,a
49555,a
2206,a
45088,a
21664,a
37536,a
43555,a
13606,a
22829,a
7214,a
36402,a
11442,a
43319,a
3000,a
30014,a
44876,a
979,a
27604,a
6357,a
10076,a
42332,a
23390,a
13151,a
44772,a
1642,a
34411,a
31476,a
14457,a
33276,a
35429,b
31528,b
35048,b
44759,b
46091,b
5582,b
30226,b
8275,b
29780,b
51766,b
2198,b
37948,b
11582,b
15232,c
17153,c
46849,c
39685,c
46729,c
22411,c
19852,c
33167,c
19858,c
7708,c
35114,c
42155,c
37682,c
4790,c
18233,c
20797,c
9534,c
28351,c
44227,c
24261,c
51666,c
45145,c
18401,c
35428,c
31217,c
4978,c
43252,c
9333,c
3202,d
25347,d
5253,d
6792,d
7185,d
42514,d
14614,d
43801,d
42402,d
33573,d
42279,d
36393,d
29993,d
12716,d
41517,d
1073,d
12083,d
31156,d
35898,d
3260,d
32828,d
450,d
195,d
29508,d
39498,d
31051,d
48459,d
31178,d
25040,d
18898,d
46549,d
20438,d
49110,d
13913,d
11994,d
41946,d
17119,d
27624,d
47849,d
51307,d
1900,d
42350,d
45551,d
42864,d
51058,d
17139,d
8436,d
47221,d
41458,d
28148,d
28152,d
41983,d
